VendorNo,VendorName,Address,City,State,Zip,Country,Phone,FAX,Preferred
2014,Cacor Corporation,161 Southfield Rd,Southfield,OH,Z60093,U.S.A.,708-555-9555,708-555-7547,TRUE
2641,Underwater,50 N 3rd Street,Indianapolis,IN,Z46208,U.S.A.,317-555-4523,,TRUE
2674,J.W.  Luscher Mfg.,65 Addams Street,Berkely,MA,Z02779,U.S.A.,800-555-4744,508-555-8949,FALSE
3511,Scuba Professionals,3105 East Brace,Rancho Dominguez,CA,Z90221,U.S.A.,213-555-7850,,TRUE
3819,Divers'  Supply Shop,5208 University Dr,Macon,GA,Z20865,U.S.A.,912-555-6790,912-555-8474,FALSE
3820,Techniques,52 Dolphin Drive,Redwood City,CA,Z94065,U.S.A.,415-555-1410,415-555-1276,FALSE
4521,Perry Scuba,3443 James Ave,Hapeville,GA,Z30354,U.S.A.,800-555-6220,404-555-8280,TRUE
4642,"Beauchat, Inc.",45900 SW 2nd Ave,Ft Lauderdale,FL,Z33315,U.S.A.,305-555-7242,305-555-6739,TRUE
4651,Amor Aqua,42 West 29th Street,New York,NY,Z10011,U.S.A.,800-555-6880,212-555-7286,TRUE
4652,Aqua Research Corp.,P.O. Box 998,Cornish,NH,Z03745,U.S.A.,603-555-2254,,TRUE
4655,B&K Undersea Photo,116 W 7th Street,New York,NY,Z10011,U.S.A.,800-555-5662,212-555-7474,FALSE
4681,Diving International,1148 David Drive,San Diego,DA,Z92102,U.S.A.,800-555-8439,,TRUE
4682,Nautical Compressors,65 NW 167 Street,Miami,FL,Z33015,U.S.A.,305-555-5554,305-555-0268,TRUE
5385,"Glen Specialties, Inc.",17663 Campbell Lane,Huntington Beach,CA,Z92647,U.S.A.,714-555-5100,714-555-6539,TRUE
5641,Dive Time,20 Miramar Ave,Long Beach,CA,Z90815,U.S.A.,213-555-3708,213-555-1390,TRUE
6415,"Undersea Systems, Inc.",18112 Gotham Street,Huntington Beach,CA,Z92648,U.S.A.,800-555-3483,,TRUE
6451,Felix Diving,310 S Michigan Ave,Chicago,IL,Z60607,U.S.A.,800-555-3549,312-555-1586,FALSE
6452,Central Valley Skin Divers,160 Jameston Ave,Jamaica,NY,Z11432,U.S.A.,718-555-5772,,FALSE
6481,Parkway Dive Shop,241 Kelly Street,South Amboy,NJ,Z8879,U.S.A.,908-555-5300,,TRUE
6482,Marine Camera & Dive,117 South Valley Rd,San Diego,CA,Z92121,U.S.A.,619-555-0604,619-555-6499,TRUE
6588,Dive Canada,275 W Ninth Ave,Vancouver,CA,Z46293,Canada,604-555-2681,604-555-3749,TRUE
7382,Dive & Surf,P.O. Box 20210,Indianapolis,IN,Z46208,U.S.A.,317-555-4523,,FALSE
7685,Fish Research Labs,29 Wilkins Rd Dept. SD,Los Banos,CA,Z93635,U.S.A.,209-555-3292,203-555-0416,TRUE
